,score_id,modular,original,delta
0,people,20.84,20.84,0
1,opportunity_employment,20.65,20.64,1
2,opportunity_k12_education,32.6,32.58,2
3,opportunity_technical_vocational_college,0.0,0.0,0
4,opportunity_higher_education,0.0,0.0,0
5,opportunity,26.63,26.61,2
6,core_services_doctors,20.66,20.66,0
7,core_services_dentists,36.57,36.58,-1
8,core_services_hospitals,24.64,24.64,0
9,core_services_pharmacies,21.59,21.53,6
10,core_services_grocery,30.06,30.06,0
11,core_services_social_services,31.81,31.76,5
12,core_services,27.16,27.15,1
13,retail,32.97,32.97,0
14,recreation_parks,57.57,57.57,0
15,recreation_trails,45.65,38.31,734
16,recreation_community_centers,20.47,20.47,0
17,recreation,44.12,41.55,257
18,transit,18.35,18.35,0
19,overall_score,28.2,27.81,39
