,score_id,modular,original,delta
0,people,8.94,24.97,-1603
1,opportunity_employment,5.38,42.53,-3715
2,opportunity_k12_education,15.97,46.77,-3080
3,opportunity_technical_vocational_college,0.0,0.0,0
4,opportunity_higher_education,0.0,0.0,0
5,opportunity,10.68,44.65,-3397
6,core_services_doctors,0.0,0.0,0
7,core_services_dentists,0.0,0.0,0
8,core_services_hospitals,0.0,0.0,0
9,core_services_pharmacies,0.0,0.0,0
10,core_services_grocery,0.0,0.0,0
11,core_services_social_services,0.0,0.0,0
13,retail,5.43,91.42,-8599
14,recreation_parks,42.59,77.98,-3539
15,recreation_trails,0.0,0.0,0
16,recreation_community_centers,4.67,55.24,-5057
17,recreation,28.01,69.23,-4122
18,transit,30.91,56.87,-2596
19,overall_score,16.41,56.63,-4022
